,DCLX003A_S1_L001_quant,DCLX003B_S2_L001_quant,DCLX003C_S3_L001_quant,DCLX003D_S4_L001_quant,DCLX003E_S5_L001_quant,DCLX003F_S6_L001_quant,DCLX003G_S7_L001_quant,DCLX004A_S8_L002_quant,DCLX004B_S9_L002_quant,DCLX004C_S10_L002_quant,DCLX004D_S11_L002_quant,DCLX004E_S12_L002_quant,DCLX005A_S1_L001_quant,DCLX005B_S2_L001_quant,DCLX005C_S3_L001_quant,DCLX005D_S4_L001_quant,DCLX005E_S5_L001_quant,DCLX006A_S6_L002_quant,DCLX006B_S7_L002_quant,DCLX006C_S8_L002_quant,DCLX006D_S9_L002_quant,DCLX007A_S1_L001_quant,DCLX007B_S2_L001_quant,DCLX007C_S3_L001_quant,DCLX007D_S4_L001_quant,DCLX007E_S5_L001_quant,DCLX008A_S6_L002_quant,DCLX008B_S7_L002_quant,DCLX008C_S8_L002_quant,DCLX008D_S9_L002_quant,DCLX008E_S10_L002_quant,DCLX009A_S1_L001_quant,DCLX009B_S2_L001_quant,DCLX009C_S3_L001_quant,DCLX009D_S4_L001_quant,DCLX009E_S5_L001_quant,DCLX010A_S6_L002_quant,DCLX010B_S7_L002_quant,DCLX010C_S8_L002_quant,DCLX010D_S9_L002_quant,DCLX011A_S1_L001_quant,DCLX011B_S2_L001_quant,DCLX011C_S3_L001_quant,DCLX011D_S4_L001_quant,DCLX012A_S5_L002_quant,DCLX012B_S6_L002_quant,DCLX012C_S7_L002_quant,DCLX012D_S8_L002_quant,SRR8743058_quant,SRR8743059_quant,SRR8743060_quant,SRR8743061_quant,SRR8743062_quant,SRR8743063_quant,SRR8743064_quant,SRR8743065_quant,SRR8743066_quant,SRR8743067_quant,SRR8743068_quant,SRR8743069_quant,SRR8743070_quant,SRR8743071_quant,SRR8743072_quant,SRR8743073_quant,SRR8743074_quant,SRR8743075_quant,SRR8743076_quant,SRR8743077_quant,SRR8743078_quant,SRR8743079_quant,SRR8743080_quant,SRR8743081_quant,SRR8743082_quant,SRR8743083_quant,SRR8743084_unmaped_quant,SRR8743085_quant,SRR8743086_quant,SRR8743087_quant,SRR8743088_quant,SRR8743089_quant,SRR8743090_quant,SRR8743091_quant,SRR8743092_quant,SRR8743093_quant,SRR8743094_quant,SRR8743095_quant,SRR8743096_quant,SRR8743097_quant,SRR8743098_quant,SRR8743099_quant,SRR8743100_quant,SRR8743102_quant,SRR8743103_quant,SRR8743104_quant,SRR8743105_quant,SRR8743106_quant,SRR8743107_quant,SRR8743108_quant,SRR8743109_quant,SRR8743110_quant,SRR8743111_quant,SRR8743112_quant,SRR8743113_quant,SRR8743114_quant,SRR8743115_quant,SRR8743116_quant,SRR8743117_quant,SRR8743118_quant,SRR8743119_quant,SRR8743120_quant,SRR8743121_quant,SRR8743122_quant,SRR8743123_quant,SRR8743124_quant,SRR8743125_quant,SRR8743126_quant,SRR8743127_unmaped_quant,SRR8743128_quant,SRR8743129_quant,SRR8743130_quant,SRR8743131_quant,SRR8743132_quant,SRR8743133_quant,SRR8743134_quant,SRR8743135_quant,SRR8743136_quant,SRR8743137_quant,SRR8743138_quant,SRR8743139_quant,SRR8743140_quant,SRR8743141_quant,SRR8743142_quant,SRR8743143_quant,SRR8743144_quant,SRR8743145_unmaped_quant,SRR8743146_quant,SRR8743147_quant,SRR8743148_quant,SRR8743149_quant,SRR8743150_quant,SRR8743151_quant,SRR8743152_quant,SRR8743153_quant,SRR8743154_quant,SRR8743155_quant,SRR8743156_quant,SRR8743157_quant,SRR8743158_quant,SRR8743159_quant,SRR8743160_quant,SRR8743161_quant,SRR8743162_quant,SRR8743163_quant,SRR8743164_quant,SRR8743165_quant,SRR8743166_quant,SRR8743167_quant,SRR8743168_quant,SRR8743169_quant,SRR8743170_quant,SRR8743171_quant,SRR8743172_quant,SRR8743173_quant,SRR8743174_quant,SRR8743175_quant,SRR8743176_quant,SRR8743177_quant,SRR8743178_quant,SRR8743179_quant,SRR8743180_quant,SRR8743181_quant,SRR8743182_quant,SRR8743183_quant,SRR8743184_quant,SRR8743185_quant,SRR8743186_quant,SRR8743187_quant,SRR8743188_quant,SRR8743189_quant,SRR8743190_quant,SRR8743191_quant,SRR8743192_quant,SRR8743193_quant,SRR8743194_quant,SRR8743195_quant,SRR8743196_quant,SRR8743197_quant,SRR8743198_quant,SRR8743199_quant,SRR8743200_quant,SRR8743201_quant,SRR8743202_quant,SRR8743203_quant,SRR8743204_quant,SRR8743205_quant,SRR8743206_quant,SRR8743207_quant,SRR8743208_quant,SRR8743209_quant,SRR8743211_quant,SRR8743212_quant,SRR8743213_quant,SRR8743214_quant,SRR8743215_quant,SRR8743216_quant,SRR8743217_quant,SRR8743218_quant,SRR8743219_quant,SRR8743220_quant,SRR8743221_quant,SRR8743222_quant,SRR8743223_quant,SRR8743224_quant,SRR8743225_quant,SRR8743226_quant,SRR8743227_quant,SRR8743228_quant,SRR8743229_quant,SRR8743230_quant,SRR8743231_quant,SRR8743232_quant,SRR8743233_quant,SRR8743234_quant,SRR8743235_quant,SRR8743236_quant,SRR8743237_quant,SRR8743238_quant,SRR8743239_quant,SRR8743240_quant,SRR8743241_quant,SRR8743242_quant,SRR8743243_quant,SRR8743244_quant,SRR8743245_quant,SRR8743246_quant,SRR8743247_quant,SRR8743248_quant,SRR8743249_quant,SRR8743250_quant,SRR8743251_quant,SRR8743252_quant,SRR8743253_quant,SRR8743254_quant,SRR8743255_quant
OTU51Rhizophagus,521,208,40,343,1315,336,137,31,1122,189,22,22,25,90,49,189,123,47,35,39,120,23,9,50,548,71,14,4,3525,43,44,4884,344,651,146,85,162,21,250,4,6,3,43,24,40,10,20,3,104,299,194,28,11,53,27,3,21,1,14,44,21,10,32,13,86,151,22,51,223,81,20,22,178,47,56,45,5,46,9,40,14,7,12,82,2,6,57,22,193,218,8,10,4,50,6,6,5,0,3,14,1,0,1,7,0,5,907,715,1549,197,108,202,91,253,141,312,203,84,6,162,56,9,2,41,14,106,11,62,56,14,6,12,26,32,3,17,2,83,0,0,2,2,2,6,3,2,31,353,346,86,39,46,14,113,3,5,41,10,24,22,50,5,31,62,64,45,5,17,29,11,142,27,63,67,26,67,23,9,24,40,4,25,70,25,14,126,118,25,183,75,33,35,84,17,12,5,9,6,4,26,5,25,3,2,82,1100,45,411,160,219,52,102,131,101,94,195,11,146,18,58,101,54,49,36,70,28,97,112,34,73,37,24,0,45,55,5,20,2,2,11,2,2,8,35
OTU70Claroideoglomus,450,279,111,171,453,369,157,113,34,1,14,25,149,229,97,105,6,58,23,44,79,0,10,16,195,18,17,9,1075,97,92,3109,1619,1680,104,68,201,25,139,13,29,20,31,11,14,48,13,10,32,144,76,1,4,20,9,0,6,4,11,8,8,5,6,18,69,40,22,34,78,44,6,8,42,17,5,30,0,12,5,25,14,0,7,12,0,14,5,19,48,104,0,0,0,12,0,0,0,0,0,1,1,0,1,0,1,0,1044,303,113,120,54,64,54,146,28,115,46,83,4,87,24,7,2,18,1,22,3,25,19,4,11,1,6,1,0,2,0,3,0,0,0,4,1,0,2,0,1,89,271,41,43,76,5,36,10,2,27,8,9,12,17,2,4,72,40,10,3,5,12,6,20,23,8,7,3,29,8,8,1,7,2,39,14,10,3,13,28,9,21,37,9,2,7,1,0,0,0,0,2,3,0,3,0,1,239,707,6,344,94,26,50,63,70,31,28,87,2,91,1,16,24,20,24,14,18,12,41,36,13,3,8,1,0,5,1,0,0,1,0,1,0,1,0,4
OTU166Rhizophagus,4,1,41,1,0,13,32,26,3,116,0,7,76,58,134,24,0,56,47,82,3,2,22,16,36,0,16,17,4,2,5,25,0,7,28,32,198,102,110,44,112,18,42,45,44,17,31,12,1,58,0,3,4,0,5,0,1,1,0,5,9,2,1,0,4,23,3,37,28,38,15,10,25,21,59,38,17,19,47,55,137,30,109,335,49,209,93,124,312,69,39,11,9,82,13,9,15,6,29,16,6,2,7,30,2,8,18,0,0,19,7,6,14,24,4,3,37,166,9,33,3,18,5,38,18,194,19,122,207,52,8,73,120,80,18,107,49,79,47,31,145,47,30,90,133,41,351,0,10,2,3,22,0,15,16,0,0,1,0,5,13,3,22,9,2,4,5,1,17,6,14,39,15,12,28,36,31,83,51,52,53,333,199,72,17,73,123,17,91,62,39,26,154,13,23,11,8,34,5,18,5,169,1,2,8,89,0,7,8,1,5,4,7,11,3,17,7,56,2,58,93,170,27,31,37,159,115,241,14,138,236,19,74,88,60,55,43,69,121,110,116,174,115,423
OTU150Rhizophagus,1,2,10,0,0,3,7,17,0,71,0,7,43,13,68,17,0,37,39,52,6,1,5,2,11,1,18,16,2,1,1,8,1,5,13,26,93,55,53,16,35,7,17,20,14,8,12,7,0,32,0,0,0,0,6,0,0,0,0,0,7,0,4,0,1,7,0,14,13,23,4,3,14,16,42,12,11,8,17,24,80,11,67,153,21,18,47,51,192,26,14,8,4,37,5,5,8,1,10,4,3,3,5,17,0,2,8,3,0,9,2,10,7,12,0,1,18,7,3,15,4,7,4,15,6,82,9,59,57,28,5,30,59,40,18,37,14,34,22,17,69,21,8,59,73,13,170,0,20,0,2,15,0,0,2,0,0,0,0,0,1,2,9,7,0,3,1,0,14,1,8,18,12,7,15,13,24,40,25,17,40,16,79,31,3,30,60,8,34,27,16,13,81,9,16,11,6,11,4,6,3,12,4,3,2,40,1,0,22,0,0,2,4,5,0,5,1,14,0,18,40,68,9,11,17,38,48,104,11,83,131,14,33,42,31,13,27,39,63,43,42,84,66,193
OTU253Funneliformis,14,6,14,2,2,3,0,324,12,0,0,0,17,49,0,68,6,15,0,39,0,0,13,4,0,0,4,8,36,1,0,339,320,94,0,0,44,19,9,3,9,8,9,2,1,5,9,2,0,4,7,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,2,0,3,0,0,3,12,8,82,3,2,1,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,3,0,9,1,0,5,0,1,11,0,3,2,14,5,46,3,18,2,3,1,2,5,8,1,3,0,6,0,0,1,0,0,2,0,3,4,1,1,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,1,1,0,0,0,0,1,6,22,1,2,2,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,31,0,6,3,4,0,0,0,0,0,0,0,1,1,10,5,6,10,4,6,2,2,20,2,10,22,0,1,3,10,1,2,0,0,2,0,2,0,5
OTU118Rhizophagus,0,1,25,0,0,3,13,5,0,16,0,2,32,16,28,7,0,32,42,27,4,1,7,10,12,0,11,6,1,0,0,7,2,2,9,14,65,44,42,19,54,3,25,14,17,7,13,4,0,31,0,4,1,0,1,0,0,2,0,0,2,1,2,0,0,11,1,5,7,21,3,2,6,7,26,13,5,11,12,8,43,9,41,109,21,60,35,43,162,27,20,4,4,33,2,4,5,0,5,5,2,1,3,17,0,3,14,0,0,3,0,1,0,18,0,1,16,32,5,8,3,5,1,15,8,55,7,48,53,19,9,22,42,23,25,46,17,20,19,12,50,12,14,43,49,8,134,1,0,0,1,12,0,0,0,0,0,0,0,1,4,0,4,1,0,0,0,1,9,4,6,10,8,5,12,13,11,25,16,16,18,77,65,28,6,32,54,10,31,27,20,7,45,5,9,7,4,11,2,5,3,53,0,0,1,8,0,3,1,0,0,0,1,7,0,4,1,12,4,19,35,39,10,13,23,41,29,105,3,59,95,8,20,40,27,8,13,27,25,49,41,48,59,133
OTU161Rhizophagus,0,4,6,0,0,5,6,1,1,24,0,0,31,23,66,4,0,19,21,24,3,0,11,6,12,0,11,12,0,1,1,4,2,3,4,13,59,29,53,17,45,9,14,9,9,6,7,1,2,25,2,0,0,0,0,1,0,0,3,2,4,0,0,0,0,21,1,12,18,22,3,2,3,9,20,12,7,11,13,12,51,6,41,126,23,53,34,51,106,20,18,2,3,22,2,0,5,1,2,8,4,3,5,17,0,0,45,0,0,3,0,2,6,11,1,0,24,38,2,9,3,2,2,6,7,88,7,48,62,10,3,18,41,23,13,46,15,19,15,12,56,10,13,37,33,16,136,0,6,0,6,5,0,0,1,0,0,0,0,1,3,3,1,1,0,1,1,1,5,3,3,11,8,5,6,16,7,27,14,23,35,81,87,18,8,16,50,10,31,27,16,11,51,8,11,3,2,9,1,6,5,44,0,2,0,18,6,5,23,0,0,2,1,3,0,7,1,22,2,16,21,55,8,11,25,47,45,86,10,50,86,9,16,29,22,12,18,22,28,29,31,52,48,134
OTU132Rhizophagus,0,2,15,0,0,0,4,1,3,32,2,3,20,9,48,6,0,27,18,44,1,0,8,13,14,0,3,4,0,0,0,7,0,0,15,13,52,34,31,7,34,7,20,16,5,1,12,5,0,7,2,5,0,0,3,0,0,0,0,1,1,0,0,0,0,2,0,6,14,15,3,0,5,5,17,6,4,8,10,16,52,4,36,130,16,50,29,51,89,26,17,3,4,17,1,1,2,1,5,6,5,2,2,6,2,1,7,0,0,2,2,3,2,14,0,0,9,28,1,6,2,5,4,10,7,56,1,53,56,23,4,17,36,24,12,26,13,21,14,17,50,10,8,34,48,8,144,1,1,0,1,15,0,1,1,0,0,0,0,0,3,0,3,7,0,4,0,1,6,0,2,12,8,6,13,9,10,25,16,12,20,71,76,14,3,31,41,5,23,21,11,13,52,2,6,3,1,4,3,3,6,41,0,1,0,29,0,0,9,0,0,0,0,5,0,11,0,22,1,7,35,60,5,14,9,39,43,97,4,31,76,5,10,29,29,18,15,23,23,33,29,57,48,133
OTU133Glomus,1,0,35,0,0,0,0,22,0,0,0,1,5,7,40,47,0,22,5,16,0,19,0,9,2,0,0,22,0,0,0,0,0,0,0,0,13,39,70,3,23,15,10,18,5,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,4,0,0,17,15,1,6,48,8,21,9,22,0,5,0,3,4,1,4,1,0,0,10,3,3,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,9,1,7,0,29,1,0,4,101,1,15,32,2,5,78,1,13,18,13,87,12,3,46,72,6,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,7,3,8,50,0,6,0,12,1,4,33,45,10,12,1,7,14,0,3,13,2,15,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,2,10,11,33,0,27,16,0,9,24,11,5,0,25,17,29,48,103,21,39
OTU206Glomus,7,0,0,0,0,1,0,50,3,2,0,1,0,2,68,80,6,16,5,0,0,0,17,60,14,1,21,3,3,0,1,18,0,1,0,0,0,3,1,1,10,8,7,0,16,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,1,0,0,1,6,4,0,2,0,10,0,0,2,1,0,2,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,1,6,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,3,5,1,1,1,1,2,4,0,0,3,1,3,0,48
OTU213Rhizophagus,0,0,0,0,0,0,3,0,0,2,0,1,11,12,25,0,0,12,12,21,1,0,0,5,0,0,3,3,0,0,0,2,0,1,0,0,43,14,23,5,18,3,7,7,0,1,4,6,0,12,0,1,0,0,2,0,0,0,1,0,3,0,0,0,3,4,0,6,1,9,1,1,7,5,8,4,2,0,4,5,6,5,10,32,3,3,8,23,44,20,6,4,0,23,2,1,6,0,9,3,2,0,1,4,1,1,7,0,0,1,0,1,1,8,0,0,4,0,0,7,0,4,0,14,8,30,5,30,43,11,2,13,24,18,10,12,5,16,5,1,9,13,4,7,11,14,48,0,3,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,2,0,2,0,3,8,1,11,3,6,4,14,0,13,25,20,2,11,28,2,14,26,10,9,32,8,1,4,6,11,2,0,1,10,0,0,1,18,0,0,18,0,0,0,0,2,0,1,2,13,2,8,19,22,3,12,10,23,30,39,3,37,33,5,2,16,14,2,9,10,5,21,18,13,20,96
OTU935Rhizophagus,303,123,19,2,0,4,0,19,0,0,0,0,0,0,0,0,71,0,0,0,0,11,7,27,8,0,0,0,17,0,0,16,191,0,0,0,1,0,147,7,0,0,0,0,0,0,0,0,0,0,0,29,7,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,37,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,63,0,79,2,3,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,22,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,30,0,1,0,0,10,27,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,1,0,0,40,0,74,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0
OTU126Glomus,0,0,8,0,0,0,0,12,0,0,0,0,3,3,25,22,0,14,6,4,0,12,0,2,0,0,0,9,0,0,0,0,0,0,0,0,5,20,45,2,5,10,2,7,5,6,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,1,0,8,9,2,0,18,4,15,4,20,0,6,1,0,2,3,4,2,1,0,9,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,2,0,15,3,0,5,83,0,7,43,0,8,54,1,5,11,10,42,10,2,34,35,5,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,5,39,0,2,0,9,1,5,30,37,7,7,0,1,6,0,3,8,0,10,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,12,6,20,0,18,21,0,8,7,6,3,1,13,16,8,25,59,16,35
OTU251Rhizophagus,0,0,6,0,0,2,3,5,0,18,2,3,6,3,25,8,0,7,11,4,0,0,2,0,9,0,2,0,0,0,0,1,0,0,8,13,18,13,16,6,20,1,7,8,3,4,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,11,3,0,3,0,0,6,15,5,7,18,10,40,5,27,59,18,52,27,24,66,4,9,3,1,3,4,0,1,0,3,1,0,0,4,5,0,1,0,0,0,1,1,0,0,0,0,0,3,35,3,0,0,0,0,0,0,44,1,0,25,1,0,6,15,2,0,19,7,1,11,9,37,1,1,27,33,0,54,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,11,0,0,0,0,6,1,0,10,1,0,2,3,8,22,4,2,26,68,18,1,6,28,16,1,7,0,2,0,9,0,7,1,2,4,0,4,3,27,0,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,0,19,11,19,0,0,0,23,8,45,0,11,41,0,19,9,4,7,1,24,35,18,30,46,7,11
