"","KO_richness","KO_shannon","KO_Simpson","OTU_richness","OTU_shannon","OTU_Simpson","NA","NA","week","NA","NA","NA","NA","NA","NA","NA","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","mpd.obs.z.1"
"SRR8743058_quant",347,"2.8533","0.7033",4,"1.2307","0.4853","Root","Preflowering",3,"RPR03","Root_Preflowering_TP03","TP03R5","TP3R5",1,"t430",5,4,0.0815064052938476,0.088702487749099,0.0328678484441819,425,-0.2189398696867,0.425,999,0.2189398696867
"SRR8743059_quant",318,"1.9336","0.5637",6,"1.8878","0.6497","Root","Preflowering",3,"RPR03","Root_Preflowering_TP03","TP03R13","TP3R13",1,"t430",13,6,0.0784202103351699,0.11859413772839,0.0321261809749251,130,-1.25050429817898,0.13,999,1.25050429817898
"SRR8743060_quant",331,"1.7812","0.5101",6,"1.2862","0.4917","Root","Preflowering",3,"RPR03","Root_Preflowering_TP03","TP03R18","TP3R18",1,"t430",18,6,0.0847924054453627,0.089878479510994,0.0343899300350399,437,-0.147894283601307,0.437,999,0.147894283601307
"SRR8743061_quant",165,"2.4891","0.6741",9,"2.4006","0.7525","Root","Preflowering",4,"RPR04","Root_Preflowering_TP04","TP04R5","TP4R5",1,"t430",5,9,0.0445692458034894,0.137614285924372,0.030512466425495,1,-3.04941065148173,0.001,999,3.04941065148173
"SRR8743063_quant",193,"2.6569","0.6542",6,"1.7405","0.6442","Root","Preflowering",4,"RPR04","Root_Preflowering_TP04","TP04R18","TP4R18",1,"t430",18,6,0.0914372174150597,0.117818944154269,0.0346572710796158,232,-0.761217658441844,0.232,999,0.761217658441844
"SRR8743074_quant",1977,"5.7071","0.9261",4,"1.3156","0.5546","Root","Preflowering",9,"RPR09","Root_Preflowering_TP09","TP09R5","TP9R5",1,"t430",5,4,0.0971183476216712,0.101173941512826,0.0402262666649049,459,-0.100819544725312,0.459,999,0.100819544725312
"SRR8743075_quant",945,"4.2347","0.8203",9,"2.0792","0.6341","Root","Preflowering",9,"RPR09","Root_Preflowering_TP09","TP09R13","TP9R13",1,"t430",13,9,0.0635327338521579,0.115616749239157,0.0268795365405667,27,-1.93768279108508,0.027,999,1.93768279108508
"SRR8743077_quant",490,"4.1093","0.8481",10,"2.6825","0.8076","Root","Preflowering",10,"RPR10","Root_Preflowering_TP10","TP10R13","TP10R13",1,"t430",13,10,0.0901011108264463,0.147558189592287,0.0297720641320516,51,-1.92989906615124,0.051,999,1.92989906615124
"SRR8743078_quant",548,"4.6239","0.8903",9,"2.1692","0.6919","Root","Preflowering",10,"RPR10","Root_Preflowering_TP10","TP10R5","TP10R5",1,"t430",5,9,0.0840316462764004,0.126333450193398,0.0313616966620867,112,-1.34883658791766,0.112,999,1.34883658791766
"SRR8743079_quant",3390,"5.2866","0.8524",9,"2.8138","0.8398","Root","Preflowering",10,"RPR10","Root_Preflowering_TP10","TP10R18","TP10R18",1,"t430",18,9,0.0799142715518825,0.153584514229179,0.0280852942652033,9,-2.62308957782832,0.009,999,2.62308957782832
"SRR8743082_quant",784,"3.4262","0.7555",9,"2.1027","0.6635","Root","Preflowering",11,"RPR11","Root_Preflowering_TP11","TP11R18","TP11R18",1,"t430",18,9,0.0621454503168044,0.121813334825128,0.0294019639309306,27,-2.02938431760858,0.027,999,2.02938431760858
"SRR8743083_quant",2252,"5.8780","0.9281",9,"2.7189","0.8186","Root","Preflowering",12,"RPR12","Root_Preflowering_TP12","TP12R18","TP12R18",1,"t430",18,9,0.0728492090541781,0.149990688230811,0.0280704718777051,6,-2.74813617358183,0.006,999,2.74813617358183
"SRR8743084_unmaped_quant",3828,"7.6175","0.9711",10,"2.9300","0.8494","Root","Preflowering",12,"RPR12","Root_Preflowering_TP12","TP12R13","TP12R13",1,"t430",13,10,0.0492857035215794,0.155990932523492,0.0265938332665905,1,-4.01240497871232,0.001,999,4.01240497871232
"SRR8743085_quant",4141,"6.4380","0.9167",14,"3.3112","0.8719","Root","Preflowering",12,"RPR12","Root_Preflowering_TP12","TP12R5","TP12R5",1,"t430",5,14,0.0844969520661157,0.160020437293579,0.0238655150284625,2,-3.16454453789883,0.002,999,3.16454453789883
"SRR8743086_quant",963,"2.8813","0.6535",12,"3.2145","0.8659","Root","Preflowering",13,"RPR13","Root_Preflowering_TP13","TP13R13","TP13R13",1,"t430",13,12,0.0542893441460055,0.158905338192449,0.0243474925574218,1,-4.29678718659484,0.001,999,4.29678718659484
"SRR8743087_quant",2927,"5.8977","0.8642",13,"3.1051","0.8462","Root","Preflowering",13,"RPR13","Root_Preflowering_TP13","TP13R5","TP13R5",1,"t430",5,13,0.0715050945362718,0.154888552031784,0.0260476670442756,2,-3.20118716788638,0.002,999,3.20118716788638
"SRR8743088_quant",2777,"6.0716","0.9011",9,"2.7228","0.8173","Root","Preflowering",13,"RPR13","Root_Preflowering_TP13","TP13R18","TP13R18",1,"t430",18,9,0.040052281671258,0.149955730783768,0.0282181345787278,1,-3.89478081217178,0.001,999,3.89478081217178
"SRR8743089_quant",5500,"5.9516","0.8621",14,"3.4314","0.8875","Root","Preflowering",14,"RPR14","Root_Preflowering_TP14","TP14R5","TP14R5",1,"t430",5,14,0.0765878523645546,0.16440270656363,0.0222075523285385,1,-3.95427883721457,0.001,999,3.95427883721457
"SRR8743090_quant",7323,"7.1889","0.9278",16,"3.2938","0.8485","Root","Preflowering",15,"RPR15","Root_Preflowering_TP15","TP15R5","TP15R5",1,"t430",5,16,0.0595299709917355,0.155636267920988,0.023787961392628,1,-4.0401232935848,0.001,999,4.0401232935848
"SRR8743091_quant",852,"3.3183","0.7126",15,"3.0764","0.8136","Root","Preflowering",15,"RPR15","Root_Preflowering_TP15","TP15R13","TP15R13",1,"t430",13,15,0.0435216485720845,0.149174827798689,0.0248211886676226,1,-4.25657210222256,0.001,999,4.25657210222256
"SRR8743092_quant",7468,"4.5672","0.7462",11,"2.8363","0.8246","Root","Preflowering",16,"RPR16","Root_Preflowering_TP16","TP16R5","TP16R5",1,"t430",5,11,0.0514452627777778,0.151670943832956,0.0274885185154344,1,-3.64609249490484,0.001,999,3.64609249490484
"SRR8743093_quant",6636,"8.4396","0.9669",14,"3.2318","0.8577","Root","Preflowering",17,"RPR17","Root_Preflowering_TP17","TP17R18","TP17R18",1,"t430",18,14,0.0611506195179063,0.157758358880437,0.0247959805540279,1,-3.89610482037732,0.001,999,3.89610482037732
"SRR8743094_quant",6854,"8.3625","0.9614",11,"3.0338","0.8563","Root","Preflowering",17,"RPR17","Root_Preflowering_TP17","TP17R13","TP17R13",1,"t430",13,11,0.053579883204775,0.15738369769255,0.0260561301112728,1,-3.98385385874574,0.001,999,3.98385385874574
"SRR8743095_quant",11655,"9.3045","0.9830",13,"2.6818","0.7608","Root","Preflowering",17,"RPR17","Root_Preflowering_TP17","TP17R5","TP17R5",1,"t430",5,13,0.0524244382690542,0.13933064262538,0.0282352731420965,1,-3.07793035749868,0.001,999,3.07793035749868
"SRR8743096_quant",6065,"8.2212","0.9718",14,"3.3615","0.8834","Root","Postflowering",9,"RPO09","Root_Postflowering_TP09","TP09R3","TP9R3",1,"t430",3,14,0.0687783837695133,0.162008528553278,0.0237286935934929,1,-3.92900453690932,0.001,999,3.92900453690932
"SRR8743097_quant",3019,"7.0973","0.9543",15,"3.1651","0.8338","Root","Postflowering",9,"RPO09","Root_Postflowering_TP09","TP09R22","TP9R22",1,"t430",22,15,0.0610373406795225,0.152831958709715,0.0248737157117354,1,-3.69042643624346,0.001,999,3.69042643624346
"SRR8743098_quant",4999,"7.9398","0.9713",11,"3.0704","0.8577","Root","Postflowering",9,"RPO09","Root_Postflowering_TP09","TP09R16","TP9R16",1,"t430",16,11,0.0577506716299357,0.15717416013423,0.0258441854404094,1,-3.84703509938593,0.001,999,3.84703509938593
"SRR8743099_quant",2482,"5.3905","0.8748",13,"2.9044","0.8081","Root","Postflowering",10,"RPO10","Root_Postflowering_TP10","TP10R3","TP10R3",1,"t430",3,13,0.0967252729292929,0.147948583987877,0.0280573662566709,46,-1.82566355622938,0.046,999,1.82566355622938
"SRR8743100_quant",4714,"7.8174","0.9729",12,"3.1493","0.8682","Root","Postflowering",10,"RPO10","Root_Postflowering_TP10","TP10R22","TP10R22",1,"t430",22,12,0.0464009468916437,0.159361533243878,0.0255757908511893,1,-4.41669964418641,0.001,999,4.41669964418641
"SRR8743104_quant",4845,"5.6840","0.8849",9,"2.4830","0.7626","Root","Postflowering",11,"RPO11","Root_Postflowering_TP11","TP11R16","TP11R16",1,"t430",16,9,0.0554982941184573,0.139694426602594,0.029645295153225,2,-2.84011786858454,0.002,999,2.84011786858454
"SRR8743109_quant",4667,"6.4185","0.9039",12,"2.9607","0.8168","Root","Postflowering",14,"RPO14","Root_Postflowering_TP14","TP14R22","TP14R22",1,"t430",22,12,0.0603630110606061,0.149868887156486,0.0253337161012765,1,-3.53307330586885,0.001,999,3.53307330586885
"SRR8743110_quant",3236,"4.8330","0.8168",20,"3.6884","0.8884","Root","Postflowering",15,"RPO15","Root_Postflowering_TP15","TP15R3","TP15R3",1,"t430",3,20,0.0651029399357208,0.163571453921019,0.0211490337437672,1,-4.65593441186494,0.001,999,4.65593441186494
"SRR8743114_quant",4284,"6.6108","0.9020",11,"2.8724","0.8310","Root","Postflowering",17,"RPO17","Root_Postflowering_TP17","TP17R22","TP17R22",1,"t430",22,11,0.043710281969697,0.152625061537106,0.0281016904529969,1,-3.87573764466523,0.001,999,3.87573764466523
"SRR8743117_quant",2466,"2.6872","0.6272",3,"1.0365","0.4734","Root","Control",2,"RCO02","Root_Control_TP02","TP02R12","TP2R12",1,"t430",12,3,0.0896955590955004,0.0863419633166638,0.038774108808984,524,0.0864905959633468,0.524,999,-0.0864905959633468
"SRR8743118_quant",3390,"2.3786","0.5627",3,"1.0072","0.4541","Root","Control",2,"RCO02","Root_Control_TP02","TP02R20","TP2R20",1,"t430",20,3,0.0840907835996327,0.0828931181969067,0.0370202434367952,505,0.0323516349850786,0.505,999,-0.0323516349850786
"SRR8743119_quant",5107,"6.5934","0.9170",2,"0.4395","0.1653","Root","Control",2,"RCO02","Root_Control_TP02","TP02R1","TP2R1",1,"t430",1,2,0.0316993719008264,0.0301512403262767,0.0142079414286217,532,0.108962412487925,0.532,999,-0.108962412487925
"SRR8743120_quant",209,"2.2192","0.6047",7,"1.8633","0.6400","Root","Control",3,"RCO03","Root_Control_TP03","TP03R12","TP3R12",1,"t430",12,7,0.0891666201882461,0.116805879770069,0.0341428420152333,250,-0.809518421738026,0.25,999,0.809518421738026
"SRR8743121_quant",511,"1.9572","0.5832",6,"1.4151","0.5184","Root","Control",3,"RCO03","Root_Control_TP03","TP03R20","TP3R20",1,"t430",20,6,0.0880895215059688,0.0948395750954766,0.0331741277933841,437,-0.203473430606786,0.437,999,0.203473430606786
"SRR8743122_quant",456,"3.0522","0.7216",6,"1.4630","0.5473","Root","Control",3,"RCO03","Root_Control_TP03","TP03R1","TP3R1",1,"t430",1,6,0.0886678530073462,0.100011433661012,0.035831976049022,390,-0.316577032708059,0.39,999,0.316577032708059
"SRR8743123_quant",644,"2.3370","0.5735",8,"2.2619","0.7507","Root","Control",4,"RCO04","Root_Control_TP04","TP04R12","TP4R12",1,"t430",12,8,0.0871998009733701,0.137104483874283,0.0323639705744829,91,-1.54198270530687,0.091,999,1.54198270530687
"SRR8743124_quant",509,"2.3201","0.5883",11,"2.4012","0.7305","Root","Control",4,"RCO04","Root_Control_TP04","TP04R20","TP4R20",1,"t430",20,11,0.11313750422865,0.133697653522577,0.0318052132923754,300,-0.64643959796539,0.3,999,0.64643959796539
"SRR8743125_quant",189,"3.0017","0.7669",4,"1.4533","0.5753","Root","Control",4,"RCO04","Root_Control_TP04","TP04R1","TP4R1",1,"t430",1,4,0.06196806771809,0.10512770619774,0.0340554261721444,148,-1.26733514540343,0.148,999,1.26733514540343
"SRR8743126_quant",1147,"4.9465","0.8967",4,"1.4286","0.5730","Root","Control",5,"RCO05","Root_Control_TP05","TP05R1","TP5R1",1,"t430",1,4,0.0901200454775023,0.104265594188817,0.0370563299139665,373,-0.381730968613359,0.373,999,0.381730968613359
"SRR8743127_unmaped_quant",1361,"5.3656","0.9041",9,"2.1983","0.6726","Root","Control",5,"RCO05","Root_Control_TP05","TP05R20","TP5R20",1,"t430",20,9,0.0763461019375574,0.122866947808975,0.0284865195927561,59,-1.63308282431412,0.059,999,1.63308282431412
"SRR8743128_quant",1322,"3.2192","0.7286",8,"2.3830","0.7557","Root","Control",5,"RCO05","Root_Control_TP05","TP05R12","TP5R12",1,"t430",12,8,0.0856760360284665,0.137894043977545,0.0307959673756529,66,-1.69561187385728,0.066,999,1.69561187385728
"SRR8743130_quant",5160,"4.5689","0.7760",13,"2.6124","0.7355","Root","Control",6,"RCO06","Root_Control_TP06","TP06R20","TP6R20",1,"t430",20,13,0.101496287791552,0.1348315598503,0.0282149939399088,152,-1.18147365651556,0.152,999,1.18147365651556
"SRR8743131_quant",1030,"3.6558","0.7645",8,"1.7681","0.5758","Root","Control",6,"RCO06","Root_Control_TP06","TP06R1","TP6R1",1,"t430",1,8,0.0808616400183655,0.105233712552874,0.0304898946013229,277,-0.799349189401638,0.277,999,0.799349189401638
"SRR8743132_quant",2991,"2.5798","0.6152",16,"3.5016","0.8871","Root","Control",7,"RCO07","Root_Control_TP07","TP07R12","TP7R12",1,"t430",12,16,0.094482431446281,0.163512581951837,0.0224264762676125,3,-3.07806494795827,0.003,999,3.07806494795827
"SRR8743134_quant",3627,"6.5393","0.9235",16,"3.3893","0.8747","Root","Control",8,"RCO08","Root_Control_TP08","TP08R20","TP8R20",1,"t430",20,16,0.0995726048943985,0.16080205024565,0.0236369134526578,11,-2.59041627723041,0.011,999,2.59041627723041
"SRR8743135_quant",5595,"4.2257","0.7099",11,"3.0885","0.8618","Root","Control",8,"RCO08","Root_Control_TP08","TP08R1","TP8R1",1,"t430",1,11,0.0617673307943067,0.158133775672803,0.0250792942442065,1,-3.84247036380451,0.001,999,3.84247036380451
"SRR8743136_quant",2414,"5.0503","0.8505",15,"3.5371","0.8949","Root","Control",9,"RCO09","Root_Control_TP09","TP09R20","TP9R20",1,"t430",20,15,0.0886612668686869,0.164301753242664,0.0219921014543281,1,-3.43943876991759,0.001,999,3.43943876991759
"SRR8743137_quant",3856,"6.7482","0.9279",19,"3.5841","0.8797","Root","Control",9,"RCO09","Root_Control_TP09","TP09R12","TP9R12",1,"t430",12,19,0.0728439684113866,0.162033783295256,0.0223537918286645,1,-3.98991882752976,0.001,999,3.98991882752976
"SRR8743138_quant",2935,"2.8900","0.6108",11,"2.9177","0.8260","Root","Control",9,"RCO09","Root_Control_TP09","TP09R1","TP9R1",1,"t430",1,11,0.0570789350734619,0.15145984966932,0.0263302322465723,1,-3.58450748599626,0.001,999,3.58450748599626
"SRR8743139_quant",3504,"7.3007","0.9584",13,"3.0898","0.8361","Root","Control",10,"RCO10","Root_Control_TP10","TP10R20","TP10R20",1,"t430",20,13,0.0555075437695133,0.153380023755574,0.0251616257303573,1,-3.88975184015945,0.001,999,3.88975184015945
"SRR8743140_quant",5449,"7.6666","0.9630",14,"3.2551","0.8669","Root","Control",10,"RCO10","Root_Control_TP10","TP10R12","TP10R12",1,"t430",12,14,0.0709457226767677,0.16034631762851,0.0243920093055466,1,-3.66515910320735,0.001,999,3.66515910320735
"SRR8743142_quant",4655,"7.9261","0.9684",13,"3.0016","0.8145","Root","Control",11,"RCO11","Root_Control_TP11","TP11R20","TP11R20",1,"t430",20,13,0.0559328687832874,0.149542437167769,0.0254453787575453,1,-3.67884358399357,0.001,999,3.67884358399357
"SRR8743143_quant",4888,"8.0932","0.9747",18,"3.5449","0.8825","Root","Control",11,"RCO11","Root_Control_TP11","TP11R12","TP11R12",1,"t430",12,18,0.0775980615610652,0.162613871463355,0.0224578320487723,1,-3.78557510438491,0.001,999,3.78557510438491
"SRR8743144_quant",6961,"7.6321","0.9347",15,"3.3961","0.8792","Root","Control",11,"RCO11","Root_Control_TP11","TP11R01z","TP11R1",1,"t430",1,15,0.0663709581910009,0.161872165009385,0.0229479941471648,1,-4.16163635941065,0.001,999,4.16163635941065
"SRR8743145_unmaped_quant",12352,"10.0569","0.9897",14,"3.5278","0.8994","Root","Control",12,"RCO12","Root_Control_TP12","TP12R20","TP12R20",1,"t430",20,14,0.0667025794490358,0.166106136904834,0.0216672703849825,1,-4.58772866584498,0.001,999,4.58772866584498
"SRR8743146_quant",8312,"9.1127","0.9768",16,"3.5004","0.8884","Root","Control",12,"RCO12","Root_Control_TP12","TP12R12","TP12R12",1,"t430",12,16,0.0697250963452709,0.163072469881433,0.0228050119653848,1,-4.09328325185062,0.001,999,4.09328325185062
"SRR8743147_quant",13418,"9.4266","0.9795",11,"2.8189","0.7948","Root","Control",13,"RCO13","Root_Control_TP13","TP13R20","TP13R20",1,"t430",20,11,0.0442382465977961,0.145834176871927,0.0264693174907102,1,-3.8382527358247,0.001,999,3.8382527358247
"SRR8743148_quant",9036,"7.0963","0.9078",13,"2.9501","0.8191","Root","Control",13,"RCO13","Root_Control_TP13","TP13R1","TP13R1",1,"t430",1,13,0.0515009077961432,0.150487512824395,0.0267353753819523,1,-3.70245802103352,0.001,999,3.70245802103352
"SRR8743149_quant",12096,"9.3697","0.9819",14,"3.2579","0.8581","Root","Control",13,"RCO13","Root_Control_TP13","TP13R12","TP13R12",1,"t430",12,14,0.0644880176538108,0.157674668842162,0.0241696454772796,1,-3.85552412326237,0.001,999,3.85552412326237
"SRR8743150_quant",15072,"10.5429","0.9949",11,"3.0214","0.8540","Root","Control",14,"RCO14","Root_Control_TP14","TP14R12","TP14R12",1,"t430",12,11,0.0656183350459137,0.157085966811035,0.0257061553713943,1,-3.55819960019794,0.001,999,3.55819960019794
"SRR8743151_quant",13233,"9.2160","0.9675",12,"3.2254","0.8710","Root","Control",15,"RCO15","Root_Control_TP15","TP15R12","TP15R12",1,"t430",12,12,0.0675342485399449,0.160339065424525,0.0241017741353482,1,-3.8505388177408,0.001,999,3.8505388177408
"SRR8743152_quant",9054,"7.4285","0.9102",15,"3.3572","0.8664","Root","Control",15,"RCO15","Root_Control_TP15","TP15R20","TP15R20",1,"t430",20,15,0.0662898134618916,0.159845689562455,0.0234525619741793,1,-3.98915377362892,0.001,999,3.98915377362892
"SRR8743153_quant",10966,"8.2161","0.9373",15,"3.0665","0.8168","Root","Control",15,"RCO15","Root_Control_TP15","TP15R1t","TP15R1",1,"t430",1,15,0.069932962892562,0.149834668362734,0.0257456054444985,1,-3.10350850526398,0.001,999,3.10350850526398
"SRR8743154_quant",20462,"8.6075","0.9252",13,"3.3438","0.8792","Root","Control",16,"RCO16","Root_Control_TP16","TP16R12","TP16R12",1,"t430",12,13,0.0647503225206612,0.161958038482482,0.0232078211448633,1,-4.18857571139701,0.001,999,4.18857571139701
"SRR8743155_quant",11246,"9.5443","0.9837",12,"3.0724","0.8489","Root","Control",17,"RCO17","Root_Control_TP17","TP17R20","TP17R20",1,"t430",20,12,0.0679209530532599,0.15645520821478,0.0258934801786197,2,-3.41917172009282,0.002,999,3.41917172009282
"SRR8743156_quant",12930,"9.4234","0.9800",15,"3.2690","0.8503","Root","Control",17,"RCO17","Root_Control_TP17","TP17R1","TP17R1",1,"t430",1,15,0.0673793892056933,0.156216186536895,0.0236042611006927,2,-3.76359153765651,0.002,999,3.76359153765651
"SRR8743157_quant",11901,"9.5662","0.9831",13,"3.1438","0.8554","Root","Control",17,"RCO17","Root_Control_TP17","TP17R12","TP17R12",1,"t430",12,13,0.0664984697015611,0.15762091957207,0.0247039442381878,1,-3.68857899742382,0.001,999,3.68857899742382
"SRR8743158_quant",762,"2.6626","0.6865",3,"0.8808","0.3742","Root","Preflowering",3,"RPR03","Root_Preflowering_TP03","TP03R6","TP3R6",1,"t642",6,3,0.0685151784435262,0.0682000863448389,0.0302287845279389,496,0.0104235781758297,0.496,999,-0.0104235781758297
"SRR8743159_quant",618,"3.2449","0.7626",4,"1.4204","0.5748","Root","Preflowering",3,"RPR03","Root_Preflowering_TP03","TP03R14","TP3R14",1,"t642",14,4,0.0956702424609734,0.105093401842798,0.0386519424289785,416,-0.243795234848524,0.416,999,0.243795234848524
"SRR8743160_quant",462,"3.1666","0.7677",4,"1.1115","0.4738","Root","Preflowering",3,"RPR03","Root_Preflowering_TP03","TP03R17","TP3R17",1,"t642",17,4,0.0876014791000918,0.0864880243266131,0.0367686515542275,505,0.0302827198282358,0.505,999,-0.0302827198282358
