AMF_induced_gene,Module_all,Module1,Module3,Module4
Sobic.002G174700,Sobic.001G293100,,Sobic.008G173400,
Sobic.002G184300,Sobic.001G294400,,Sobic.008G181400,
Sobic.002G210100,Sobic.001G295900,,Sobic.008G183900,
Sobic.002G217300,Sobic.001G296100,,Sobic.008G188800,
Sobic.002G227000,Sobic.001G298600,,Sobic.008G189100,
Sobic.002G256601,Sobic.001G299600,,Sobic.009G002200,
Sobic.002G265400,Sobic.001G300400,,Sobic.009G002400,
Sobic.002G266200,Sobic.001G300500,,Sobic.009G012900,
Sobic.002G285450,Sobic.001G302300,,Sobic.009G016100,
Sobic.002G311900,Sobic.001G302900,,Sobic.009G017500,
Sobic.002G358100,Sobic.001G304100,,Sobic.009G019000,
Sobic.002G394900,Sobic.001G304800,,Sobic.009G024100,
Sobic.003G010200,Sobic.001G307600,,Sobic.009G025400,
Sobic.003G017300,Sobic.001G313100,,Sobic.009G032100,
Sobic.003G026000,Sobic.001G320500,,Sobic.009G032800,
Sobic.003G073750,Sobic.001G321000,,Sobic.009G033400,
Sobic.003G076800,Sobic.001G325700,,Sobic.009G033600,
Sobic.003G077001,Sobic.001G334900,,Sobic.009G034500,
Sobic.003G088200,Sobic.001G345100,,Sobic.009G035300,
Sobic.003G155600,Sobic.001G347700,,Sobic.009G036500,
Sobic.003G156000,Sobic.001G351500,,Sobic.009G048000,
Sobic.003G186300,Sobic.001G352700,,Sobic.009G053600,
Sobic.003G224200,Sobic.001G358200,,Sobic.009G054301,
Sobic.003G244900,Sobic.001G361800,,Sobic.009G056400,
Sobic.003G247800,Sobic.001G364200,,Sobic.009G059600,
Sobic.003G286000,Sobic.001G366700,,Sobic.009G060300,
Sobic.003G315800,Sobic.001G368300,,Sobic.009G061000,
Sobic.003G318001,Sobic.001G369200,,Sobic.009G070800,
Sobic.003G379500,Sobic.001G371300,,Sobic.009G074300,
Sobic.003G387400,Sobic.001G373200,,Sobic.009G079100,
Sobic.003G414100,Sobic.001G377700,,Sobic.009G080400,
Sobic.003G421700,Sobic.001G379000,,Sobic.009G080900,
Sobic.003G422200,Sobic.001G379500,,Sobic.009G083800,
Sobic.004G013200,Sobic.001G380700,,Sobic.009G088200,
Sobic.004G108600,Sobic.001G381100,,Sobic.009G101100,
Sobic.004G109400,Sobic.001G384700,,Sobic.009G102800,
Sobic.004G114200,Sobic.001G387000,,Sobic.009G103700,
Sobic.004G123801,Sobic.001G388000,,Sobic.009G104800,
Sobic.004G147900,Sobic.001G389600,,Sobic.009G105000,
Sobic.004G160100,Sobic.001G392200,,Sobic.009G105500,
Sobic.004G169200,Sobic.001G393000,,Sobic.009G117100,
Sobic.004G190800,Sobic.001G397700,,Sobic.009G123000,
Sobic.004G226300,Sobic.001G399200,,Sobic.009G124800,
Sobic.004G230800,Sobic.001G402400,,Sobic.009G125800,
Sobic.004G254100,Sobic.001G403200,,Sobic.009G125900,
Sobic.004G349237,Sobic.001G405000,,Sobic.009G129400,
Sobic.005G050100,Sobic.001G406700,,Sobic.009G129500,
Sobic.005G076100,Sobic.001G407100,,Sobic.009G133700,
Sobic.005G087800,Sobic.001G416000,,Sobic.009G134000,
Sobic.005G129716,Sobic.001G427600,,Sobic.009G138300,
Sobic.005G129732,Sobic.001G428000,,Sobic.009G141700,
Sobic.005G129748,Sobic.001G435700,,Sobic.009G143200,
Sobic.005G129780,Sobic.001G437300,,Sobic.009G148000,
Sobic.005G129950,Sobic.001G437500,,Sobic.009G151100,
Sobic.005G151350,Sobic.001G439000,,Sobic.009G151700,
Sobic.005G152500,Sobic.001G439400,,Sobic.009G153800,
Sobic.005G214150,Sobic.001G442800,,Sobic.009G160700,
Sobic.005G226700,Sobic.001G449500,,Sobic.009G160800,
Sobic.005G227200,Sobic.001G451800,,Sobic.009G162500,
Sobic.005G227300,Sobic.001G452200,,Sobic.009G162700,
Sobic.005G227400,Sobic.001G452900,,Sobic.009G170500,
Sobic.005G230600,Sobic.001G453900,,Sobic.009G172950,
Sobic.005G230900,Sobic.001G455700,,Sobic.009G175200,
Sobic.005G231000,Sobic.001G461200,,Sobic.009G176600,
Sobic.005G231800,Sobic.001G461800,,Sobic.009G181800,
Sobic.006G020350,Sobic.001G463800,,Sobic.009G188000,
Sobic.006G025132,Sobic.001G468000,,Sobic.009G195300,
Sobic.006G027800,Sobic.001G468500,,Sobic.009G196300,
Sobic.006G048000,Sobic.001G470600,,Sobic.009G202900,
Sobic.006G054900,Sobic.001G479600,,Sobic.009G205800,
Sobic.006G082200,Sobic.001G484000,,Sobic.009G206500,
Sobic.006G091700,Sobic.001G488400,,Sobic.009G208700,
Sobic.006G120100,Sobic.001G488900,,Sobic.009G210400,
Sobic.006G143800,Sobic.001G496700,,Sobic.009G211600,
Sobic.006G192400,Sobic.001G505300,,Sobic.009G219700,
Sobic.006G197200,Sobic.001G506700,,Sobic.009G225200,
Sobic.007G107600,Sobic.001G513700,,Sobic.009G225500,
Sobic.007G183500,Sobic.001G518000,,Sobic.009G226300,
Sobic.007G210801,Sobic.001G518300,,Sobic.009G227000,
Sobic.007G215200,Sobic.001G518600,,Sobic.009G228700,
Sobic.007G215300,Sobic.001G522300,,Sobic.009G229000,
Sobic.008G048800,Sobic.001G525600,,Sobic.009G232100,
Sobic.008G132500,Sobic.001G527900,,Sobic.009G244900,
Sobic.008G134401,Sobic.001G542200,,Sobic.009G246700,
Sobic.008G158900,Sobic.002G003200,,Sobic.009G246950,
Sobic.008G180800,Sobic.002G003800,,Sobic.009G251100,
Sobic.008G184800,Sobic.002G004100,,Sobic.009G258400,
Sobic.009G019800,Sobic.002G005100,,Sobic.010G003100,
Sobic.009G043500,Sobic.002G007200,,Sobic.010G008900,
Sobic.009G084600,Sobic.002G016400,,Sobic.010G010100,
Sobic.009G107500,Sobic.002G032500,,Sobic.010G016300,
Sobic.009G128300,Sobic.002G050500,,Sobic.010G016600,
Sobic.009G158200,Sobic.002G053900,,Sobic.010G024000,
Sobic.009G158500,Sobic.002G057500,,Sobic.010G025000,
Sobic.009G158600,Sobic.002G070300,,Sobic.010G025100,
Sobic.009G221701,Sobic.002G072100,,Sobic.010G036000,
Sobic.009G227300,Sobic.002G072700,,Sobic.010G042000,
Sobic.009G254700,Sobic.002G085900,,Sobic.010G048700,
Sobic.010G043900,Sobic.002G086900,,Sobic.010G055500,
Sobic.010G044300,Sobic.002G090500,,Sobic.010G068800,
Sobic.010G068900,Sobic.002G093400,,Sobic.010G071100,
Sobic.010G073300,Sobic.002G094600,,Sobic.010G078300,
Sobic.010G106800,Sobic.002G113400,,Sobic.010G085400,
Sobic.010G118900,Sobic.002G113600,,Sobic.010G086800,
Sobic.010G122900,Sobic.002G116900,,Sobic.010G090500,
Sobic.010G193200,Sobic.002G118700,,Sobic.010G092400,
Sobic.010G207800,Sobic.002G125000,,Sobic.010G096100,
Sobic.010G231400,Sobic.002G125700,,Sobic.010G096700,
Sobic.010G236800,Sobic.002G132400,,Sobic.010G098700,
,Sobic.002G142200,,Sobic.010G100700,
,Sobic.002G147200,,Sobic.010G101100,
,Sobic.002G153000,,Sobic.010G105400,
,Sobic.002G158900,,Sobic.010G118300,
,Sobic.002G160800,,Sobic.010G122100,
,Sobic.002G164600,,Sobic.010G126100,
,Sobic.002G174100,,Sobic.010G129700,
,Sobic.002G179900,,Sobic.010G134000,
,Sobic.002G180100,,Sobic.010G143300,
,Sobic.002G187400,,Sobic.010G147200,
,Sobic.002G189000,,Sobic.010G147700,
,Sobic.002G200400,,Sobic.010G152300,
,Sobic.002G202500,,Sobic.010G152400,
,Sobic.002G205500,,Sobic.010G152500,
,Sobic.002G207900,,Sobic.010G158832,
,Sobic.002G213600,,Sobic.010G165200,
,Sobic.002G216100,,Sobic.010G168500,
,Sobic.002G220600,,Sobic.010G176900,
,Sobic.002G222200,,Sobic.010G177300,
,Sobic.002G225100,,Sobic.010G181500,
,Sobic.002G230900,,Sobic.010G181600,
,Sobic.002G235700,,Sobic.010G192500,
,Sobic.002G239700,,Sobic.010G193600,
,Sobic.002G241100,,Sobic.010G199700,
,Sobic.002G241700,,Sobic.010G207700,
,Sobic.002G246000,,Sobic.010G209800,
,Sobic.002G251100,,Sobic.010G211700,
,Sobic.002G252000,,Sobic.010G211800,
,Sobic.002G254900,,Sobic.010G212500,
,Sobic.002G255500,,Sobic.010G212800,
,Sobic.002G256300,,Sobic.010G216400,
,Sobic.002G275100,,Sobic.010G216700,
,Sobic.002G276600,,Sobic.010G222800,
,Sobic.002G278200,,Sobic.010G230300,
,Sobic.002G279300,,Sobic.010G232000,
,Sobic.002G284000,,Sobic.010G232500,
,Sobic.002G284100,,Sobic.010G235200,
,Sobic.002G286100,,Sobic.010G235600,
,Sobic.002G286700,,Sobic.010G244600,
,Sobic.002G300600,,Sobic.010G253200,
,Sobic.002G301400,,Sobic.010G254700,
,Sobic.002G302800,,Sobic.010G255000,
,Sobic.002G304000,,Sobic.010G255900,
,Sobic.002G306300,,Sobic.010G260800,
,Sobic.002G309800,,Sobic.010G265600,
,Sobic.002G313000,,Sobic.010G274000,
,Sobic.002G314500,,Sobic.K009800,
,Sobic.002G314800,,Sobic.K026200,
,Sobic.002G319300,,,
,Sobic.002G320600,,,
,Sobic.002G324400,,,
,Sobic.002G334000,,,
,Sobic.002G335300,,,
,Sobic.002G340100,,,
,Sobic.002G340700,,,
,Sobic.002G342100,,,
,Sobic.002G343000,,,
,Sobic.002G343400,,,
,Sobic.002G343600,,,
,Sobic.002G351100,,,
,Sobic.002G353800,,,
,Sobic.002G362700,,,
,Sobic.002G365700,,,
,Sobic.002G367300,,,
,Sobic.002G367700,,,
,Sobic.002G368300,,,
,Sobic.002G384000,,,
,Sobic.002G386400,,,
,Sobic.002G387600,,,
,Sobic.002G388700,,,
,Sobic.002G391900,,,
,Sobic.002G393600,,,
,Sobic.002G394500,,,
,Sobic.002G395500,,,
,Sobic.002G399000,,,
,Sobic.002G400200,,,
,Sobic.002G403700,,,
,Sobic.002G407700,,,
,Sobic.002G411900,,,
,Sobic.002G416000,,,
,Sobic.002G420000,,,
,Sobic.002G424600,,,
,Sobic.002G428900,,,
,Sobic.002G430500,,,
,Sobic.002G431500,,,
,Sobic.003G000100,,,
,Sobic.003G008700,,,
,Sobic.003G013700,,,
,Sobic.003G017500,,,
,Sobic.003G024000,,,
,Sobic.003G027600,,,
,Sobic.003G031700,,,
,Sobic.003G032200,,,
,Sobic.003G033800,,,
,Sobic.003G035601,,,
,Sobic.003G039900,,,
,Sobic.003G041700,,,
,Sobic.003G043900,,,
,Sobic.003G046700,,,
,Sobic.003G047200,,,
,Sobic.003G052000,,,
,Sobic.003G052100,,,
,Sobic.003G055600,,,
,Sobic.003G061800,,,
,Sobic.003G062101,,,
,Sobic.003G074801,,,
,Sobic.003G074900,,,
,Sobic.003G087700,,,
,Sobic.003G095500,,,
,Sobic.003G097300,,,
,Sobic.003G108900,,,
,Sobic.003G118100,,,
,Sobic.003G121000,,,
,Sobic.003G121100,,,
,Sobic.003G128700,,,
,Sobic.003G133900,,,
,Sobic.003G138400,,,
,Sobic.003G150600,,,
,Sobic.003G151300,,,
,Sobic.003G153100,,,
,Sobic.003G158000,,,
,Sobic.003G159700,,,
,Sobic.003G174900,,,
,Sobic.003G177350,,,
,Sobic.003G183300,,,
,Sobic.003G183700,,,
,Sobic.003G183800,,,
,Sobic.003G184500,,,
,Sobic.003G185900,,,
,Sobic.003G191600,,,
,Sobic.003G201000,,,
,Sobic.003G203800,,,
,Sobic.003G211800,,,
,Sobic.003G212700,,,
,Sobic.003G212800,,,
,Sobic.003G214800,,,
,Sobic.003G217632,,,
,Sobic.003G219300,,,
,Sobic.003G220500,,,
,Sobic.003G222300,,,
,Sobic.003G222600,,,
,Sobic.003G226700,,,
,Sobic.003G230200,,,
,Sobic.003G239100,,,
,Sobic.003G247600,,,
,Sobic.003G256900,,,
,Sobic.003G260700,,,
,Sobic.003G265600,,,
,Sobic.003G265701,,,
,Sobic.003G266400,,,
,Sobic.003G269900,,,
,Sobic.003G276901,,,
,Sobic.003G277200,,,
,Sobic.003G282300,,,
,Sobic.003G286400,,,
,Sobic.003G288000,,,
,Sobic.003G289400,,,
,Sobic.003G289800,,,
,Sobic.003G291000,,,
,Sobic.003G292700,,,
,Sobic.003G293400,,,
,Sobic.003G294500,,,
,Sobic.003G296400,,,
,Sobic.003G298600,,,
,Sobic.003G305700,,,
,Sobic.003G309400,,,
,Sobic.003G312550,,,
,Sobic.003G315166,,,
,Sobic.003G315700,,,
,Sobic.003G317100,,,
,Sobic.003G320500,,,
,Sobic.003G327000,,,
,Sobic.003G328500,,,
,Sobic.003G328600,,,
,Sobic.003G328800,,,
,Sobic.003G334700,,,
,Sobic.003G336900,,,
,Sobic.003G345200,,,
,Sobic.003G346500,,,
,Sobic.003G349800,,,
,Sobic.003G352300,,,
,Sobic.003G355500,,,
,Sobic.003G356800,,,
,Sobic.003G359500,,,
,Sobic.003G359600,,,
,Sobic.003G364900,,,
,Sobic.003G366300,,,
,Sobic.003G368600,,,
,Sobic.003G373300,,,
,Sobic.003G373800,,,
,Sobic.003G374100,,,
,Sobic.003G378400,,,
,Sobic.003G384100,,,
,Sobic.003G385900,,,
,Sobic.003G387300,,,
,Sobic.003G387600,,,
,Sobic.003G388300,,,
,Sobic.003G389100,,,
,Sobic.003G390500,,,
,Sobic.003G394100,,,
,Sobic.003G409500,,,
,Sobic.003G409600,,,
,Sobic.003G410800,,,
,Sobic.003G418700,,,
,Sobic.003G420100,,,
,Sobic.003G432000,,,
,Sobic.003G435200,,,
,Sobic.003G437300,,,
,Sobic.003G441601,,,
,Sobic.003G442300,,,
,Sobic.003G445400,,,
,Sobic.004G002100,,,
,Sobic.004G002600,,,
,Sobic.004G007600,,,
,Sobic.004G008600,,,
,Sobic.004G010000,,,
,Sobic.004G013500,,,
,Sobic.004G034300,,,
,Sobic.004G042000,,,
,Sobic.004G046400,,,
,Sobic.004G047100,,,
,Sobic.004G051300,,,
,Sobic.004G053900,,,
,Sobic.004G054000,,,
,Sobic.004G066900,,,
,Sobic.004G068800,,,
,Sobic.004G073800,,,
,Sobic.004G078900,,,
,Sobic.004G081400,,,
,Sobic.004G095200,,,
,Sobic.004G099600,,,
,Sobic.004G105100,,,
,Sobic.004G107900,,,
,Sobic.004G108400,,,
,Sobic.004G113600,,,
,Sobic.004G115600,,,
,Sobic.004G115700,,,
,Sobic.004G117400,,,
,Sobic.004G126700,,,
,Sobic.004G130800,,,
,Sobic.004G132400,,,
,Sobic.004G140000,,,
,Sobic.004G149800,,,
,Sobic.004G151300,,,
,Sobic.004G153700,,,
,Sobic.004G153800,,,
,Sobic.004G165300,,,
,Sobic.004G177400,,,
,Sobic.004G180400,,,
,Sobic.004G180700,,,
,Sobic.004G183400,,,
,Sobic.004G184700,,,
,Sobic.004G188100,,,
,Sobic.004G188600,,,
,Sobic.004G190200,,,
,Sobic.004G193500,,,
,Sobic.004G197400,,,
,Sobic.004G209100,,,
,Sobic.004G216700,,,
,Sobic.004G219700,,,
,Sobic.004G221300,,,
,Sobic.004G229400,,,
,Sobic.004G232600,,,
,Sobic.004G237000,,,
,Sobic.004G237600,,,
,Sobic.004G241300,,,
,Sobic.004G243800,,,
,Sobic.004G246500,,,
,Sobic.004G247300,,,
,Sobic.004G253000,,,
,Sobic.004G253300,,,
,Sobic.004G253500,,,
,Sobic.004G257600,,,
,Sobic.004G257700,,,
,Sobic.004G259101,,,
,Sobic.004G261700,,,
,Sobic.004G261800,,,
,Sobic.004G263700,,,
,Sobic.004G266500,,,
,Sobic.004G271300,,,
,Sobic.004G281300,,,
,Sobic.004G283800,,,
,Sobic.004G284900,,,
,Sobic.004G287600,,,
,Sobic.004G294800,,,
,Sobic.004G295100,,,
,Sobic.004G297900,,,
,Sobic.004G305700,,,
,Sobic.004G307300,,,
,Sobic.004G309800,,,
,Sobic.004G315700,,,
,Sobic.004G318200,,,
,Sobic.004G328300,,,
,Sobic.004G330000,,,
,Sobic.004G332800,,,
,Sobic.004G333600,,,
,Sobic.004G337200,,,
,Sobic.004G339500,,,
,Sobic.004G339900,,,
,Sobic.004G341700,,,
,Sobic.004G347300,,,
,Sobic.004G348800,,,
,Sobic.004G349800,,,
,Sobic.004G352800,,,
,Sobic.004G354800,,,
,Sobic.005G000500,,,
,Sobic.005G004800,,,
,Sobic.005G004900,,,
,Sobic.005G022500,,,
,Sobic.005G028800,,,
,Sobic.005G035000,,,
,Sobic.005G039700,,,
,Sobic.005G047700,,,
,Sobic.005G049600,,,
,Sobic.005G052500,,,
,Sobic.005G055600,,,
,Sobic.005G056800,,,
,Sobic.005G057301,,,
,Sobic.005G057700,,,
,Sobic.005G059800,,,
,Sobic.005G062600,,,
,Sobic.005G063600,,,
,Sobic.005G064700,,,
,Sobic.005G065900,,,
,Sobic.005G066000,,,
,Sobic.005G066100,,,
,Sobic.005G069500,,,
,Sobic.005G072600,,,
,Sobic.005G072700,,,
,Sobic.005G087600,,,
,Sobic.005G098400,,,
,Sobic.005G099500,,,
,Sobic.005G107900,,,
,Sobic.005G110553,,,
,Sobic.005G110600,,,
,Sobic.005G112100,,,
,Sobic.005G121700,,,
,Sobic.005G129600,,,
,Sobic.005G140001,,,
,Sobic.005G144600,,,
,Sobic.005G149600,,,
,Sobic.005G163800,,,
,Sobic.005G169700,,,
,Sobic.005G171300,,,
,Sobic.005G172500,,,
,Sobic.005G192500,,,
,Sobic.005G219700,,,
,Sobic.005G219900,,,
,Sobic.005G222600,,,
,Sobic.005G228250,,,
,Sobic.005G229100,,,
,Sobic.006G001000,,,
,Sobic.006G001600,,,
,Sobic.006G008100,,,
,Sobic.006G013300,,,
,Sobic.006G014400,,,
,Sobic.006G017600,,,
,Sobic.006G022200,,,
,Sobic.006G028900,,,
,Sobic.006G053000,,,
,Sobic.006G063800,,,
,Sobic.006G071628,,,
,Sobic.006G081000,,,
,Sobic.006G083400,,,
,Sobic.006G091400,,,
,Sobic.006G101500,,,
,Sobic.006G102900,,,
,Sobic.006G105600,,,
,Sobic.006G108500,,,
,Sobic.006G112600,,,
,Sobic.006G112800,,,
,Sobic.006G124200,,,
,Sobic.006G124400,,,
,Sobic.006G129800,,,
,Sobic.006G130200,,,
,Sobic.006G140300,,,
,Sobic.006G146300,,,
,Sobic.006G147900,,,
,Sobic.006G149400,,,
,Sobic.006G150100,,,
,Sobic.006G154500,,,
,Sobic.006G155900,,,
,Sobic.006G157600,,,
,Sobic.006G163600,,,
,Sobic.006G164400,,,
,Sobic.006G169800,,,
,Sobic.006G170600,,,
,Sobic.006G179200,,,
,Sobic.006G181900,,,
,Sobic.006G182000,,,
,Sobic.006G182200,,,
,Sobic.006G183900,,,
,Sobic.006G187401,,,
,Sobic.006G191900,,,
,Sobic.006G192700,,,
,Sobic.006G193100,,,
,Sobic.006G196900,,,
,Sobic.006G198800,,,
,Sobic.006G201300,,,
,Sobic.006G202600,,,
,Sobic.006G205500,,,
,Sobic.006G209500,,,
,Sobic.006G213500,,,
,Sobic.006G214000,,,
,Sobic.006G218600,,,
,Sobic.006G218900,,,
,Sobic.006G219100,,,
,Sobic.006G222400,,,
,Sobic.006G223900,,,
,Sobic.006G226200,,,
,Sobic.006G234300,,,
,Sobic.006G235700,,,
,Sobic.006G236800,,,
,Sobic.006G245600,,,
,Sobic.006G255300,,,
,Sobic.006G262600,,,
,Sobic.006G263300,,,
,Sobic.006G267500,,,
,Sobic.006G267800,,,
,Sobic.006G270300,,,
,Sobic.006G278000,,,
,Sobic.007G000700,,,
,Sobic.007G001500,,,
,Sobic.007G001900,,,
,Sobic.007G008400,,,
,Sobic.007G010000,,,
,Sobic.007G016800,,,
,Sobic.007G019600,,,
,Sobic.007G027900,,,
,Sobic.007G028600,,,
,Sobic.007G046900,,,
,Sobic.007G053800,,,
,Sobic.007G063200,,,
,Sobic.007G075600,,,
,Sobic.007G084200,,,
,Sobic.007G084300,,,
,Sobic.007G090436,,,
,Sobic.007G090460,,,
,Sobic.007G090537,,,
,Sobic.007G090600,,,
,Sobic.007G091900,,,
,Sobic.007G103800,,,
,Sobic.007G112100,,,
,Sobic.007G113900,,,
,Sobic.007G114500,,,
,Sobic.007G116500,,,
,Sobic.007G116800,,,
,Sobic.007G118500,,,
,Sobic.007G119500,,,
,Sobic.007G125300,,,
,Sobic.007G129000,,,
,Sobic.007G130000,,,
,Sobic.007G131200,,,
,Sobic.007G139500,,,
,Sobic.007G148300,,,
,Sobic.007G150800,,,
,Sobic.007G151500,,,
,Sobic.007G154800,,,
,Sobic.007G158000,,,
,Sobic.007G160300,,,
,Sobic.007G161600,,,
,Sobic.007G162000,,,
,Sobic.007G162600,,,
,Sobic.007G168900,,,
,Sobic.007G170300,,,
,Sobic.007G171400,,,
,Sobic.007G177000,,,
,Sobic.007G179400,,,
,Sobic.007G180200,,,
,Sobic.007G181000,,,
,Sobic.007G184800,,,
,Sobic.007G186200,,,
,Sobic.007G189100,,,
,Sobic.007G190200,,,
,Sobic.007G191800,,,
,Sobic.007G192000,,,
,Sobic.007G193700,,,
,Sobic.007G194100,,,
,Sobic.007G201500,,,
,Sobic.007G203300,,,
,Sobic.007G206700,,,
,Sobic.007G210200,,,
,Sobic.007G213400,,,
,Sobic.007G216700,,,
,Sobic.007G219100,,,
,Sobic.007G220400,,,
,Sobic.007G223500,,,
,Sobic.007G223701,,,
,Sobic.008G005100,,,
,Sobic.008G005800,,,
,Sobic.008G010900,,,
,Sobic.008G014100,,,
,Sobic.008G016200,,,
,Sobic.008G017800,,,
,Sobic.008G021900,,,
,Sobic.008G023300,,,
,Sobic.008G026700,,,
,Sobic.008G039800,,,
,Sobic.008G072050,,,
,Sobic.008G078000,,,
,Sobic.008G083500,,,
,Sobic.008G088200,,,
,Sobic.008G088821,,,
,Sobic.008G089100,,,
,Sobic.008G091400,,,
,Sobic.008G093000,,,
,Sobic.008G094000,,,
,Sobic.008G095150,,,
,Sobic.008G095200,,,
,Sobic.008G098600,,,
,Sobic.008G101300,,,
,Sobic.008G102800,,,
,Sobic.008G104000,,,
,Sobic.008G110200,,,
,Sobic.008G110700,,,
,Sobic.008G112200,,,
,Sobic.008G118700,,,
,Sobic.008G124000,,,
,Sobic.008G126800,,,
,Sobic.008G137300,,,
,Sobic.008G141200,,,
,Sobic.008G148400,,,
,Sobic.008G156900,,,
,Sobic.008G160400,,,
,Sobic.008G160600,,,
,Sobic.008G164800,,,
,Sobic.008G169800,,,
,Sobic.008G171600,,,
,Sobic.008G171900,,,
,Sobic.008G173400,,,
,Sobic.008G181400,,,
,Sobic.008G183900,,,
,Sobic.008G188800,,,
,Sobic.008G189100,,,
,Sobic.009G002200,,,
,Sobic.009G002400,,,
,Sobic.009G012900,,,
,Sobic.009G016100,,,
,Sobic.009G017500,,,
,Sobic.009G019000,,,
,Sobic.009G024100,,,
,Sobic.009G025400,,,
,Sobic.009G032100,,,
,Sobic.009G032800,,,
,Sobic.009G033400,,,
,Sobic.009G033600,,,
,Sobic.009G034500,,,
,Sobic.009G035300,,,
,Sobic.009G036500,,,
,Sobic.009G048000,,,
,Sobic.009G053600,,,
,Sobic.009G054301,,,
,Sobic.009G056400,,,
,Sobic.009G059600,,,
,Sobic.009G060300,,,
,Sobic.009G061000,,,
,Sobic.009G070800,,,
,Sobic.009G074300,,,
,Sobic.009G079100,,,
,Sobic.009G080400,,,
,Sobic.009G080900,,,
,Sobic.009G083800,,,
,Sobic.009G088200,,,
,Sobic.009G101100,,,
,Sobic.009G102800,,,
,Sobic.009G103700,,,
,Sobic.009G104800,,,
,Sobic.009G105000,,,
,Sobic.009G105500,,,
,Sobic.009G117100,,,
,Sobic.009G123000,,,
,Sobic.009G124800,,,
,Sobic.009G125800,,,
,Sobic.009G125900,,,
,Sobic.009G129400,,,
,Sobic.009G129500,,,
,Sobic.009G133700,,,
,Sobic.009G134000,,,
,Sobic.009G138300,,,
,Sobic.009G141700,,,
,Sobic.009G143200,,,
,Sobic.009G148000,,,
,Sobic.009G151100,,,
,Sobic.009G151700,,,
,Sobic.009G153800,,,
,Sobic.009G160700,,,
,Sobic.009G160800,,,
